Latest: Time (min),Latest: Potential (V),Latest: Temperature (K)
13,1.181,290.2
13.5,1.181,290.7
14,1.177,291.2
14.5,1.172,291.7
15,1.177,292.3
15.5,1.181,292.8
16,1.177,293.3
16.5,1.172,293.8
17,1.177,294.4
17.5,1.177,294.9
18,1.177,295.4
18.5,1.172,296
19,1.172,296.5
19.5,1.172,297
20,1.167,297.5
20.5,1.172,298
21,1.172,298.5
21.5,1.172,299
22,1.172,299.6
22.5,1.172,300.1
23,1.172,300.6
23.5,1.167,301.1
24,1.167,301.6
24.5,1.167,302.1
25,1.172,302.6
25.5,1.167,303.1
26,1.167,303.6
26.5,1.167,304.1
27,1.162,304.6
27.5,1.162,305.1
28,1.167,305.6
28.5,1.162,306.1
29,1.162,306.5
29.5,1.162,307
30,1.162,307.5
30.5,1.162,307.9
31,1.157,308.4
31.5,1.162,308.9
32,1.162,309.4
32.5,1.157,309.8
33,1.157,310.3
33.5,1.157,310.8
34,1.157,311.2
34.5,1.152,311.6
35,1.152,312.1
35.5,1.152,312.5
36,1.147,313
36.5,1.152,313.4
37,1.152,313.8
37.5,1.152,314.3
38,1.147,314.7
38.5,1.147,315.1
39,1.147,315.5
39.5,1.147,315.9
40,1.142,316.3
40.5,1.147,316.7
41,1.147,317.1
41.5,1.142,317.5
42,1.142,317.9
42.5,1.138,318.3
43,1.142,318.7
43.5,1.142,319.1
44,1.142,319.5
44.5,1.138,319.8
45,1.138,320.2
45.5,1.138,320.6
46,1.142,320.9
46.5,1.133,321.3
47,1.138,321.7
47.5,1.138,322
48,1.138,322.4
48.5,1.133,322.7
49,1.138,323.1
49.5,1.133,323.4
50,1.138,323.8
50.5,1.133,324.1
51,1.138,324.4
51.5,1.128,324.8
52,1.133,325.1
52.5,1.133,325.4
53,1.133,325.8
53.5,1.133,326.1
54,1.128,326.4
54.5,1.128,326.7
55,1.128,327
55.5,1.128,327.3
56,1.128,327.6
56.5,1.128,327.9
57,1.128,328.2
57.5,1.128,328.5
58,1.128,328.8
58.5,1.128,329.1
59,1.123,329.4
59.5,1.128,329.6
60,1.123,329.9